,word,times,percent
1828,bite-size,261,0.02579795751343273
421,vegetables,259,0.025600272015245507
974,lentils,258,0.025501429266151895
2462,quinoa,258,0.025501429266151895
5193,bone-in,252,0.02490837277159022
1777,sun-dried,251,0.02480953002249661
1667,9,248,0.024513001775215773
2050,capers,248,0.024513001775215773
255,old,248,0.024513001775215773
5416,penne,247,0.02441415902612216
4812,tortilla,247,0.02441415902612216
5040,chilled,246,0.02431531627702855
5331,stew,245,0.024216473527934938
3110,raspberries,244,0.024117630778841326
496,ribs,244,0.024117630778841326
4300,loin,243,0.024018788029747714
1640,cocktail,243,0.024018788029747714
2491,pine,243,0.024018788029747714
5102,long,243,0.024018788029747714
3130,romaine,242,0.023919945280654102
3032,chuck,242,0.023919945280654102
308,coarse,239,0.023623417033373267
456,reduced-fat,239,0.023623417033373267
3344,strawberry,239,0.023623417033373267
2542,spicy,238,0.023524574284279655
3507,sirloin,238,0.023524574284279655
46,cucumbers,238,0.023524574284279655
1313,greek,237,0.023425731535186043
1237,kale,237,0.023425731535186043
2776,shells,236,0.02332688878609243
5413,cracked,236,0.02332688878609243
565,greens,236,0.02332688878609243
3781,separated,235,0.02322804603699882
5109,reserved,234,0.023129203287905208
4942,creme,233,0.023030360538811592
2316,bean,232,0.02293151778971798
3767,american,232,0.02293151778971798
1495,broken,229,0.022634989542437145
5188,oranges,229,0.022634989542437145
3209,mild,229,0.022634989542437145
3422,shallot,228,0.022536146793343533
2934,butternut,227,0.02243730404424992
3150,bulk,225,0.022239618546062698
4799,cardamom,225,0.022239618546062698
2896,whiskey,224,0.022140775796969086
1785,cajun,223,0.022041933047875474
1707,tenderloin,223,0.022041933047875474
2986,smoke,222,0.021943090298781862
2214,hamburger,222,0.021943090298781862
1922,dusting,220,0.02174540480059464
3501,whip,219,0.021646562051501027
1984,panko,219,0.021646562051501027
4417,shell,218,0.021547719302407415
3887,envelope,218,0.021547719302407415
1157,links,218,0.021547719302407415
595,granulated,218,0.021547719302407415
3608,pinto,218,0.021547719302407415
6,marjoram,215,0.02125119105512658
1328,nonfat,215,0.02125119105512658
5297,lamb,215,0.02125119105512658
4156,powdered,214,0.021152348306032968
2481,semi-sweet,212,0.02095466280784574
1900,at,212,0.02095466280784574
2447,grapes,211,0.02085582005875213
